concept,label,level,abstract,dimension
us-gaap_IncreaseDecreaseInStockholdersEquityRollForward,Increase (Decrease) in Stockholders' Equity [Roll Forward],3,False,False
us-gaap_CommonStockSharesOutstanding,Common Stock Shares Outstanding,4,False,False
us-gaap_StockholdersEquity,Total Stockholders' Equity,4,False,False
us-gaap_NetIncomeLoss,Net Income,4,False,False
us-gaap_OtherComprehensiveIncomeLossNetOfTax,Other comprehensive income (loss),4,False,False
us-gaap_StockIssuedDuringPeriodSharesEmployeeBenefitPlan,Stock-based compensation and issuance of employee benefit plan stock (in shares),4,False,False
us-gaap_StockIssuedDuringPeriodValueEmployeeBenefitPlan,Stock-based compensation and issuance of employee benefit plan stock,4,False,False
us-gaap_TreasuryStockSharesAcquired,Common stock repurchased (in shares),4,False,False
us-gaap_TreasuryStockValueAcquiredCostMethod,Common stock repurchased,4,False,False
us-gaap_CommonStockSharesOutstanding,Common Stock Shares Outstanding,4,False,False
us-gaap_StockholdersEquity,Total Stockholders' Equity,4,False,False
